layer_name,prompt,timestep_index,num_same_pairs,num_different_pairs,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,best_verification_threshold,best_verification_accuracy,equal_error_rate
unet.down_blocks.0,add headphones,10,45,945,0.0012076616287231446,0.0013015719317885303,0.039074730976588194,0.0418787316207296,9.391030306538572e-05,0.5396707818930041,7.106231689453125e-06,0.9545454545454546,0.4444444444444444
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,add black sunglasses,3,45,945,0.0020256135198805066,0.002119298019106426,0.050125576452248626,0.05290970645509857,9.368449922591941e-05,0.53450911228689,3.4345554351806643e-05,0.9545454545454546,0.4888888888888889
unet.down_blocks.0,add black sunglasses,10,45,945,0.0012054628796047634,0.0012991007673677313,0.03903151246615582,0.04183297175864773,9.363788776296789e-05,0.5396825396825397,7.106231689453125e-06,0.9545454545454546,0.4444444444444444
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,add headphones,6,45,945,0.0009642428821987575,0.0010568958110910244,0.03587069590058592,0.03882748001013641,9.265292889226685e-05,0.5489006466784244,3.571646118164063e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,add headphones,3,45,945,0.001179455386267768,0.0012718097873465725,0.04003726382636362,0.04227724011553816,9.23544010788045e-05,0.5365432098765432,2.4199485778808594e-05,0.9555555555555556,0.4888888888888889
unet.up_blocks.2,add black sunglasses,3,45,945,0.0011293239063686795,0.0012212748880739564,0.039381888332880206,0.04170055260300321,9.19509817052769e-05,0.5339094650205761,2.4378299713134766e-05,0.9565656565656566,0.4857142857142857
unet.up_blocks.0,add black sunglasses,10,45,945,0.0005953616566128201,0.0006865210634060007,0.028699681949284343,0.031942104783756704,9.115940679318057e-05,0.567854203409759,1.6391277313232422e-05,0.9555555555555556,0.4444444444444444
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,add black sunglasses,6,45,945,0.000927832391526964,0.001018101008480819,0.035249185210300814,0.03815910542117698,9.026861695385488e-05,0.5490064667842446,3.595487976074219e-05,0.9545454545454546,0.4666666666666667
unet.up_blocks.0,add headphones,10,45,945,0.0005986160702175564,0.0006881426881860804,0.028748937261601288,0.03192700010197109,8.952661796852394e-05,0.5660435038212815,1.5676021575927734e-05,0.9555555555555556,0.44497354497354497
unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1,add headphones,6,45,945,0.0010705285602145725,0.0011600086928675415,0.03673369401238031,0.03927945650907026,8.948013265296898e-05,0.538424456202234,2.200739288330078e-05,0.9545454545454546,0.4714285714285714
unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1,add black sunglasses,6,45,945,0.0010649442672729492,0.0011542609129002485,0.03667941317997045,0.039211255166600775,8.931664562729933e-05,0.5375896531452087,2.390146255493164e-05,0.9555555555555556,0.4846560846560847
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add black sunglasses,14,45,945,0.0013869378301832411,0.001475935385971473,0.04151231198468142,0.044346345430387867,8.899755578823179e-05,0.5395767195767196,3.8875808715820315e-06,0.9545454545454546,0.446031746031746
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,add headphones,14,45,945,0.0013886729876200357,0.0014775474866231284,0.04153839481166667,0.04437000370589356,8.887449900309261e-05,0.5394708994708994,3.827976226806641e-06,0.9545454545454546,0.4455026455026455
unet.down_blocks.0,add black sunglasses,6,45,945,0.0011102543936835395,0.0011979605785753362,0.03761554653238919,0.04026832948019975,8.770618489179665e-05,0.5395061728395062,9.788440704345703e-06,0.9545454545454546,0.46190476190476193
unet.mid_block,add headphones,6,45,945,0.0008705721961127387,0.0009582120274740552,0.03412297619506717,0.03691723420230485,8.763983136131652e-05,0.548724279835391,2.5451183319091797e-05,0.9555555555555556,0.48677248677248675
unet.down_blocks.0,add headphones,6,45,945,0.001101080576578776,0.0011882334159164832,0.0374643350020051,0.040109827145244234,8.715283933770726e-05,0.5396119929453262,9.788440704345703e-06,0.9545454545454546,0.4486772486772487
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,add headphones,3,45,945,0.0009538266393873426,0.001039946646917434,0.036490894864416784,0.03922501939038436,8.612000753009143e-05,0.54891240446796,4.303455352783203e-05,0.9565656565656566,0.4888888888888889
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add headphones,10,45,945,0.0011789626545376248,0.0012645505723499117,0.0378886391615702,0.040245457599925066,8.558791781228692e-05,0.529429747207525,4.960464477539063e-06,0.9545454545454546,0.4470899470899471
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,add black sunglasses,10,45,945,0.0011776288350423176,0.0012624890085250612,0.03784855842176411,0.04019484202421847,8.486017348274355e-05,0.5293239271017048,4.900859832763672e-06,0.9545454545454546,0.44656084656084655
unet.up_blocks.0,add black sunglasses,14,45,945,0.0005234917004903158,0.0006057843329414489,0.02667424994417363,0.029701356441472416,8.229263245113311e-05,0.5639035861258084,1.1742115020751953e-05,0.9555555555555556,0.446031746031746
unet.up_blocks.0,add headphones,14,45,945,0.0005231579144795736,0.0006040664576979541,0.026661761653506092,0.02964751533621912,8.090854321838052e-05,0.5637037037037037,1.245737075805664e-05,0.9555555555555556,0.4470899470899471
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,add headphones,6,45,945,0.0008305470148722331,0.0009113161652176469,0.033450003061443565,0.03594161107416743,8.076915034541381e-05,0.5435508524397413,2.772943878173828e-05,0.9545454545454546,0.4666666666666667
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,add black sunglasses,6,45,945,0.0008147438367207845,0.0008954858023022848,0.03313496857881546,0.035589752626166773,8.074196558150034e-05,0.5429982363315696,2.7133392333984374e-05,0.9545454545454546,0.4666666666666667
unet.mid_block,add black sunglasses,6,45,945,0.0008414149284362793,0.0009215510080731104,0.03349917044656144,0.036216650830788746,8.013607963683106e-05,0.5494650205761317,2.574920654296875e-05,0.9555555555555556,0.4666666666666667
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,add headphones,6,45,945,0.0008841050995720758,0.0009625603282262409,0.03439098927709791,0.03697715905647744,7.845522865416511e-05,0.5459259259259259,2.963678741455078e-05,0.9545454545454546,0.4666666666666667
